Word,Exclude?,Occurrences,ClassNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
air-conditioning,Y,37,1,N,Y,N,N,N,N,N,N,N,N,N
modelling,N,37,1,N,Y,N,N,N,N,N,N,N,N,N
pounding,N,37,1,Y,Y,N,N,N,N,N,N,N,N,N
sightseeing,?,37,1,N,Y,N,N,N,N,N,N,N,N,N
flavouring,N,36,1,Y,Y,N,N,N,N,N,N,N,N,N
hamstring,Y,36,1,Y,N,N,N,N,N,N,N,N,N,N
jogging,N,36,1,N,Y,N,N,N,N,N,N,N,N,N
ordering,N,36,1,Y,N,N,N,N,N,N,N,N,N,N
seating,N,36,1,N,Y,N,N,N,N,N,N,N,N,N
siding,N,36,1,Y,Y,N,N,N,N,N,N,N,N,N
logging,N,35,1,N,Y,N,N,N,N,N,N,N,N,N
rejoicing,N,35,1,N,Y,N,N,N,N,N,N,N,N,N
rendering,N,35,1,Y,Y,N,N,N,N,N,N,N,N,N
childbearing,?,34,1,N,Y,N,N,N,N,N,N,N,N,N
coating,N,34,1,Y,Y,N,N,N,N,N,N,N,N,N
glazing,N,34,1,Y,Y,N,N,N,N,N,N,N,N,N
scattering,N,34,1,N,N,Y,N,N,N,N,N,N,N,N
bidding,N,33,1,N,Y,N,N,N,N,N,N,N,N,N
fledgling,N,33,1,Y,N,N,N,N,N,N,N,N,N,N
stuffing,N,33,1,N,Y,N,N,N,N,N,N,N,N,N
wording,N,33,1,N,Y,Y,N,N,N,N,N,N,N,N
facing,N,32,1,Y,Y,N,Y,N,N,N,N,N,N,N
turning,N,32,1,Y,N,N,N,N,N,N,N,N,N,N
batting,N,31,1,N,Y,N,N,N,N,N,N,N,N,N
dripping,N,31,1,N,Y,N,N,N,N,N,N,N,N,N
horseracing,?,31,1,N,Y,N,N,N,N,N,N,N,N,N
mountaineering,N,31,1,N,Y,N,N,N,N,N,N,N,N,N
padding,N,31,1,N,Y,N,N,N,N,N,N,N,N,N
wiring,N,31,1,N,Y,N,N,N,N,N,N,N,N,N
grating,N,30,1,Y,N,N,N,N,N,N,N,N,N,N
moulding,N,30,1,Y,Y,N,N,N,N,N,N,N,N,N
seasoning,N,30,1,Y,Y,N,N,N,N,N,N,N,N,N
shaking,N,30,1,Y,N,N,N,N,N,N,N,N,N,N
Thanksgiving,Y,29,1,Y,N,Y,N,N,N,N,N,N,N,N
sheeting,N,27,1,N,Y,N,N,N,N,N,N,N,N,N
starling,N,27,1,Y,N,N,N,N,N,N,N,N,N,N
Viking,Y,27,1,Y,N,N,N,N,N,N,N,N,N,N
hoarding,N,26,1,Y,N,N,N,N,N,N,N,N,N,N
homecoming,?,26,1,Y,N,N,N,N,N,N,N,N,N,N
leaning,N,26,1,Y,N,N,N,N,N,N,N,N,N,N
rising,N,26,1,Y,N,N,N,N,N,N,N,N,N,N
scaffolding,N,26,1,N,Y,N,N,N,N,N,N,N,N,N
whiting,N,26,1,Y,N,N,N,N,N,N,N,N,N,N
fling,Y,25,1,Y,N,N,N,N,N,N,N,N,N,N
grounding,N,25,1,N,N,Y,N,N,N,N,N,N,N,N
rumbling,N,25,1,Y,Y,Y,N,N,N,N,N,N,N,N
profit-sharing,?,24,1,N,Y,N,N,N,N,N,N,N,N,N
rustling,N,24,1,Y,Y,N,N,N,N,N,N,N,N,N
slimming,N,24,1,N,Y,N,N,N,N,N,N,N,N,N
airing,N,23,1,Y,Y,N,N,N,N,N,N,N,N,N
awning,Y,23,1,Y,N,N,N,N,N,N,N,N,N,N
cheering,N,23,1,N,Y,N,N,N,N,N,N,N,N,N
outpouring,N,23,1,Y,N,N,N,N,N,N,N,N,N,N
scolding,N,23,1,Y,Y,N,N,N,N,N,N,N,N,N
smuggling,N,23,1,N,Y,N,N,N,N,N,N,N,N,N
christening,N,22,1,Y,Y,N,N,N,N,N,N,N,N,N
hairdressing,N,22,1,N,Y,N,N,N,N,N,N,N,N,N
spanking,N,22,1,Y,Y,N,N,N,N,N,N,N,N,N
yachting,N,22,1,N,Y,N,N,N,N,N,N,N,N,N
panelling,N,21,1,N,Y,N,N,N,N,N,N,N,N,N
pleading,N,21,1,Y,Y,N,N,N,N,N,N,N,N,N
sacking,N,21,1,N,Y,N,N,N,N,N,N,N,N,N
skateboarding,N,21,1,N,Y,N,N,N,N,N,N,N,N,N
carpeting,N,20,1,N,Y,N,N,N,N,N,N,N,N,N
duckling,Y,20,1,Y,Y,N,N,N,N,N,N,N,N,N
flowering,N,20,1,N,N,Y,N,N,N,N,N,N,N,N
smallholding,?,20,1,Y,N,N,N,N,N,N,N,N,N,N
underling,Y,20,1,Y,N,N,N,N,N,N,N,N,N,N
weakling,Y,20,1,Y,N,N,N,N,N,N,N,N,N,N
coursing,N,19,1,N,Y,N,N,N,N,N,N,N,N,N
cupping,N,19,1,N,Y,N,N,N,N,N,N,N,N,N
infighting,N,19,1,N,Y,N,N,N,N,N,N,N,N,N
mending,N,19,1,N,Y,N,N,N,N,N,N,N,N,N
bunting,N,18,1,N,Y,N,N,N,N,N,N,N,N,N
costing,N,18,1,Y,Y,N,N,N,N,N,N,N,N,N
gosling,Y,18,1,Y,N,N,N,N,N,N,N,N,N,N
matting,N,18,1,N,Y,N,N,N,N,N,N,N,N,N
piping,N,18,1,N,Y,N,N,N,N,N,N,N,N,N
smattering,Y,18,1,Y,N,N,N,N,N,N,N,N,N,N
tubing,N,18,1,N,Y,N,N,N,N,N,N,N,N,N
whipping,N,18,1,Y,Y,N,N,N,N,N,N,N,N,N
brainwashing,N,17,1,Y,Y,N,N,N,N,N,N,N,N,N
crackling,N,17,1,N,Y,N,N,N,N,N,N,N,N,N
hijacking,N,17,1,Y,Y,N,N,N,N,N,N,N,N,N
paving,N,17,1,N,Y,N,N,N,N,N,N,N,N,N
screening,N,17,1,Y,Y,N,N,N,N,N,N,N,N,N
undoing,N,17,1,N,N,Y,N,N,N,N,N,N,N,N
veiling,N,17,1,N,Y,N,N,N,N,N,N,N,N,N
dumpling,Y,16,1,Y,N,N,N,N,N,N,N,N,N,N
offing,N,16,1,N,N,N,N,N,N,N,N,N,N,Y
paving,N,16,1,Y,N,N,N,N,N,N,N,N,N,N
ping,Y,16,1,Y,N,Y,N,N,N,N,N,N,N,N
rubbing,N,16,1,Y,Y,N,N,N,N,N,N,N,N,N
skating,N,16,1,N,Y,N,N,N,N,N,N,N,N,N
bookkeeping,?,15,1,N,Y,N,N,N,N,N,N,N,N,N
chipping,N,15,1,Y,N,N,N,N,N,N,N,N,N,N
etching,N,15,1,Y,Y,N,N,N,N,N,N,N,N,N
fastening,N,15,1,Y,N,N,N,N,N,N,N,N,N,N
flogging,N,15,1,Y,Y,N,N,N,N,N,N,N,N,N
receiving,N,15,1,N,Y,N,N,N,N,N,N,N,N,N
roaring,N,15,1,N,N,Y,N,N,N,N,N,N,N,N
spacing,N,15,1,N,Y,N,N,N,N,N,N,N,N,N
thieving,N,15,1,N,Y,N,N,N,N,N,N,N,N,N
touring,N,15,1,N,Y,N,N,N,N,N,N,N,N,N
wetting,N,15,1,Y,N,N,N,N,N,N,N,N,N,N
forwarding,N,14,1,N,Y,N,N,N,N,Y,N,N,N,N
freezing,N,14,1,N,N,Y,N,N,N,N,N,N,N,N
posting,N,14,1,Y,N,N,N,N,N,N,N,N,N,N
roofing,N,14,1,N,Y,N,N,N,N,N,N,N,N,N
staging,N,14,1,Y,Y,N,N,N,N,N,N,N,N,N
thrashing,N,14,1,Y,N,N,N,N,N,N,N,N,N,N
wall-painting,?,14,1,Y,Y,N,N,N,N,N,N,N,N,N
webbing,Y,14,1,N,Y,N,N,N,N,N,N,N,N,N
bullfighting,N,13,1,N,Y,N,N,N,N,N,N,N,N,N
designing,N,13,1,N,Y,N,N,N,N,N,N,N,N,N
drafting,N,13,1,Y,N,N,N,N,N,N,N,N,N,N
hankering,N,13,1,Y,N,N,N,N,N,N,N,N,N,N
letting,N,13,1,Y,N,N,N,N,N,N,N,N,N,N
murmuring,N,13,1,Y,Y,N,N,N,N,N,N,N,N,N
nothing,N,13,1,Y,N,N,N,N,N,N,N,N,N,N
conveyancing,N,12,1,N,Y,N,N,N,N,N,N,N,N,N
farthing,Y,12,1,Y,N,N,N,N,N,N,N,N,N,N
